object id,ff,co,numstreet,city,state,metro,zipcode,Latitude,Longitude
174,Fast Food,New York Fried Chicken,3403 Belair Rd,Baltimore,MD,Baltimore City,21213,39.32223,-76.572222
175,Fast Food,New York Fried Chicken,5814 Hillen Rd,Baltimore,MD,Baltimore City,21239,39.359521,-76.582539
176,Fast Food,New York Fried Chicken,412 E Baltimore St,Baltimore,MD,Baltimore City,21202,39.29002,-76.609687
177,Fast Food,New York Fried Chicken,2201 W Pratt St,Baltimore,MD,Baltimore City,21223,39.284755,-76.651423
178,Fast Food,New York Fried Chicken,1268 E North Ave,Baltimore,MD,Baltimore City,21202,39.312341,-76.600469
179,Fast Food,New York Fried Chicken,1215 W North Ave,Baltimore,MD,Baltimore City,21207,39.310058,-76.63785
180,Fast Food,New York Fried Chicken,409 W Saratoga St,Baltimore,MD,Baltimore City,21201,39.292624,-76.621634
181,Fast Food,New York Fried Chicken,1101 Washington Blvd,Baltimore,MD,Baltimore City,21230,39.282674,-76.632617
182,Fast Food,New York Fried Chicken,3344 E Baltimore St,Baltimore,MD,Baltimore City,21224,39.292678,-76.569622
183,Fast Food,New York Fried Chicken,1 W North Ave,Baltimore,MD,Baltimore City,21201,39.310723,-76.616694
184,Fast Food,New York Fried Chicken,6401 Windsor Mill Rd,Baltimore,MD,Baltimore,21207,39.321698,-76.726533
185,Fast Food,New York Fried Chicken,4700 Liberty Heights Ave,Baltimore,MD,Baltimore City,21207,39.33169,-76.695737
186,Fast Food,New York Fried Chicken,6035 Liberty Rd,Baltimore,MD,Baltimore,21207,39.336911,-76.713761
187,Fast Food,New York Fried Chicken,2012 N Forest Park Ave,Baltimore,MD,Baltimore City,21207,39.309829,-76.708069
188,Fast Food,New York Fried Chicken,5145 Park Heights Ave,Baltimore,MD,Baltimore City,21215,39.349071,-76.675438
189,Fast Food,New York Fried Chicken,3143 W North Ave,Baltimore,MD,Baltimore City,21216,39.30883,-76.669964
190,Fast Food,New York Fried Chicken,1301 W Baltimore St,Baltimore,MD,Baltimore City,21223,39.288394,-76.638313
191,Fast Food,New York Fried Chicken,1700 Pennsylvania Ave,Baltimore,MD,Baltimore City,21217,39.303672,-76.635888
363,Fast Food,New York Fried Chicken,542 E Patapsco Ave,Brooklyn,MD,Anne Arundel,21225,39.236583,-76.602338
590,Fast Food,New York Fried Chicken,7621 Marlboro Pike,District Heights,MD,Prince George's,20747,38.844837,-76.874928
698,Fast Food,New York Fried Chicken,151 Back River Neck Road,Essex,MD,Baltimore,21221,39.308536,-76.444279
1630,Fast Food,New York Fried Chicken,4817 Saint Barnabas Road,Temple Hills,MD,Prince George's,20748,38.823612,-76.950839